Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	PEP	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
H0YKU1;H0YNJ8;Q9NYL9	H0YKU1;H0YNJ8;Q9NYL9	2;2;2	2;2;2	2;2;2	Tropomodulin-3	TMOD3	>tr|H0YKU1|H0YKU1_HUMAN Tropomodulin-3 (Fragment) OS=Homo sapiens GN=TMOD3 PE=4 SV=1;>tr|H0YNJ8|H0YNJ8_HUMAN Tropomodulin-3 OS=Homo sapiens GN=TMOD3 PE=2 SV=1;>sp|Q9NYL9|TMOD3_HUMAN Tropomodulin-3 OS=Homo sapiens GN=TMOD3 PE=1 SV=1	3	2	2	2	13.4	13.4	13.4	20.79	187	187;213;352	1.4115E-06	NaN	NaN	NaN	1	10639000	6376400	4262400				840	3244;9743	True;True	3251;9760	3841;11621	6914;6915;6916;20971	6915;20971		
H0YL33;H0YN28;H0YNA0;H0YN52;H0YLE2	H0YL33;H0YN28;H0YNA0	9;8;6;4;1	1;0;0;0;0	1;0;0;0;0	Annexin	ANXA2	>tr|H0YL33|H0YL33_HUMAN Annexin (Fragment) OS=Homo sapiens GN=ANXA2 PE=2 SV=1;>tr|H0YN28|H0YN28_HUMAN Annexin (Fragment) OS=Homo sapiens GN=ANXA2 PE=2 SV=1;>tr|H0YNA0|H0YNA0_HUMAN Annexin (Fragment) OS=Homo sapiens GN=ANXA2 PE=2 SV=1	5	9	1	1	52.8	7	7	16.432	142	142;139;79;59;45	7.8064E-57	NaN	NaN	NaN	0	0	0	0				841	238;1531;1730;3701;9080;10106;10193;10194;10564	False;False;False;True;False;False;False;False;False	238;1536;1736;3708;9094;10124;10211;10212;10583	272;273;1819;2064;4372;10860;10861;10862;12049;12149;12150;12641	511;512;513;3293;3294;3699;7900;19619;19620;19621;19622;21775;21776;21978;21979;21980;22899;22900;22901	512;3294;3699;7900;19622;21775;21978;21980;22900		
H0YMZ1;H0YN18;H0YL69;P25789;H0YLS6;H0YLC2;H0YKT8;H0YMI6;P25789-2;H0YMA1	H0YMZ1;H0YN18;H0YL69;P25789;H0YLS6;H0YLC2;H0YKT8;H0YMI6;P25789-2;H0YMA1	2;2;2;2;1;1;1;1;1;1	2;2;2;2;1;1;1;1;1;1	2;2;2;2;1;1;1;1;1;1	Proteasome subunit alpha type;Proteasome subunit alpha type-4;Proteasome subunit beta type	PSMA4	>tr|H0YMZ1|H0YMZ1_HUMAN Proteasome subunit alpha type (Fragment) OS=Homo sapiens GN=PSMA4 PE=2 SV=1;>tr|H0YN18|H0YN18_HUMAN Proteasome subunit alpha type-4 OS=Homo sapiens GN=PSMA4 PE=2 SV=1;>tr|H0YL69|H0YL69_HUMAN Proteasome subunit alpha type (Fragment) 	10	2	2	2	8.1	8.1	8.1	24.583	221	221;230;236;261;125;174;182;183;190;209	6.8832E-06	1.2835	0.94261	9.4123	2	61425000	28650000	32775000				842	6614;11061	True;True	6624;11081	7988;13258	14501;14502;24130	14501;24130		
H0YLF3;P61769;F5H6I0	H0YLF3;P61769;F5H6I0	2;1;1	2;1;1	2;1;1	Beta-2-microglobulin;Beta-2-microglobulin form pI 5.3	B2M	>tr|H0YLF3|H0YLF3_HUMAN Beta-2-microglobulin form pI 5.3 (Fragment) OS=Homo sapiens GN=B2M PE=2 SV=1;>sp|P61769|B2MG_HUMAN Beta-2-microglobulin OS=Homo sapiens GN=B2M PE=1 SV=1;>tr|F5H6I0|F5H6I0_HUMAN Beta-2-microglobulin form pI 5.3 OS=Homo sapiens GN=B2M	3	2	2	2	32.4	32.4	32.4	8.4984	71	71;119;122	1.4783E-07	2.3594	1.8167	15.542	2	66258000	15222000	51036000				843	3831;11057	True;True	3839;11077	4525;4526;13254	8173;8174;8175;24125;24126	8173;24126		
H0YLH9;Q14005-3;H3BVH5;Q14005-2;Q14005	H0YLH9;Q14005-3;H3BVH5;Q14005-2;Q14005	8;8;8;8;8	8;8;8;8;8	8;8;8;8;8	Pro-interleukin-16;Interleukin-16	IL16	>tr|H0YLH9|H0YLH9_HUMAN Pro-interleukin-16 (Fragment) OS=Homo sapiens GN=IL16 PE=4 SV=2;>sp|Q14005-3|IL16_HUMAN Isoform 3 of Pro-interleukin-16 OS=Homo sapiens GN=IL16;>tr|H3BVH5|H3BVH5_HUMAN Pro-interleukin-16 (Fragment) OS=Homo sapiens GN=IL16 PE=2 SV=1;	5	8	8	8	20	20	20	64.547	611	611;631;1221;1331;1332	2.075E-40	12.676	10.015	2.5185	2	90406000	6288800	84117000				844	1820;3035;3627;4076;4288;5478;6781;11141	True;True;True;True;True;True;True;True	1826;3042;3634;4084;4297;5488;6791;11161	2179;3599;4287;4883;5124;6597;8199;13355	3912;6459;7733;7734;8868;8869;9304;12042;14869;24335;24336	3912;6459;7733;8868;9304;12042;14869;24336		
H0YMB1;Q96TC7-2;Q96TC7;H0YLG5	H0YMB1;Q96TC7-2;Q96TC7;H0YLG5	2;2;2;1	2;2;2;1	2;2;2;1	Regulator of microtubule dynamics protein 3	RMDN3	>tr|H0YMB1|H0YMB1_HUMAN Regulator of microtubule dynamics protein 3 (Fragment) OS=Homo sapiens GN=RMDN3 PE=4 SV=1;>sp|Q96TC7-2|RMD3_HUMAN Isoform 2 of Regulator of microtubule dynamics protein 3 OS=Homo sapiens GN=RMDN3;>sp|Q96TC7|RMD3_HUMAN Regulator of m	4	2	2	2	8.8	8.8	8.8	34.038	306	306;341;470;287	7.5638E-06	NaN	NaN	NaN	1	17734000	3767000	13967000				845	472;2357	True;True	473;2364	553;2817	1030;5049	1030;5049		
H0YN26;P39687;O95626;O43423;H7BZ09	H0YN26;P39687	5;5;2;2;1	5;5;2;2;1	4;4;2;2;1	Acidic leucine-rich nuclear phosphoprotein 32 family member A	ANP32A	>tr|H0YN26|H0YN26_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens GN=ANP32A PE=2 SV=1;>sp|P39687|AN32A_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens GN=ANP32A PE=1 SV=1	5	5	5	4	23.7	23.7	16.4	19.997	177	177;249;131;234;79	6.6047E-18	1.4108	0.96682	17.682	6	421060000	177530000	243520000				846	1709;1710;2641;6741;11688	True;True;True;True;True	1714;1715;2648;6751;11708	2029;2030;2031;3141;8139;13993	3638;3639;3640;3641;5631;14768;14769;14770;25512	3638;3640;5631;14769;25512		
H0YN81;Q9GZS3;H0YLA1;H3BQA8;H0YMF9;H0YL19;H0YM76	H0YN81;Q9GZS3;H0YLA1;H3BQA8;H0YMF9;H0YL19	4;4;2;2;2;2;1	4;4;2;2;2;2;1	4;4;2;2;2;2;1	WD repeat-containing protein 61	WDR61	>tr|H0YN81|H0YN81_HUMAN WD repeat-containing protein 61 (Fragment) OS=Homo sapiens GN=WDR61 PE=2 SV=1;>sp|Q9GZS3|WDR61_HUMAN WD repeat-containing protein 61 OS=Homo sapiens GN=WDR61 PE=1 SV=1;>tr|H0YLA1|H0YLA1_HUMAN WD repeat-containing protein 61 (Fragmen	7	4	4	4	26.9	26.9	26.9	32.253	294	294;305;72;163;189;212;48	1.3747E-21	1.636	1.3005	12.157	3	47305000	16795000	30510000				847	2718;6689;9534;9702	True;True;True;True	2725;6699;9551;9719	3231;8079;11378;11574;11575	5793;14665;20563;20564;20889;20890	5793;14665;20564;20889		
Q92841;H3BLZ8;Q92841-1;Q92841-3;Q92841-2;C9JMU5;G5E9L5	Q92841;H3BLZ8;Q92841-1;Q92841-3;Q92841-2;C9JMU5	19;19;17;17;16;16;1	19;19;17;17;16;16;1	15;15;13;13;13;13;1	Probable ATP-dependent RNA helicase DDX17	DDX17	>sp|Q92841|DDX17_HUMAN Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=1 SV=2;>tr|H3BLZ8|H3BLZ8_HUMAN Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=2 SV=1;>sp|Q92841-1|DDX17_HUMAN Isoform 2 of Probable ATP-depe	7	19	19	15	32.6	32.6	26.9	80.272	729	729;731;650;652;652;652;181	1.0176E-87	1.0525	0.73797	25.546	20	869910000	452140000	417770000				848	829;841;2051;2526;2806;3557;4025;4325;6511;6541;6542;7736;8109;8847;9013;9943;10451;11353;11952	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	833;845;2057;2533;2813;3564;4033;4334;6521;6551;6552;7749;8122;8861;9027;9960;10470;11373;11971	983;999;2476;3016;3330;4205;4822;5166;7825;7857;7858;9292;9741;9742;10593;10784;11853;12503;13611;14307	1752;1784;1785;1786;4434;4435;5394;5395;5981;5982;5983;7580;7581;7582;7583;7584;8765;8766;8767;9391;9392;14208;14209;14266;14267;14268;16750;16751;17561;17562;17563;17564;19152;19153;19489;19490;19491;21403;22645;22646;24813;24814;24815;26093	1752;1784;4435;5395;5981;7580;8765;9391;14209;14267;14268;16750;17561;19152;19490;21403;22646;24813;26093		
Q5SYU3;H3BM30;Q9BV79-2;Q9BV79	Q5SYU3;H3BM30;Q9BV79-2;Q9BV79	1;1;1;1	1;1;1;1	1;1;1;1	Trans-2-enoyl-CoA reductase, mitochondrial	MECR	>tr|Q5SYU3|Q5SYU3_HUMAN Trans-2-enoyl-CoA reductase, mitochondrial (Fragment) OS=Homo sapiens GN=MECR PE=2 SV=1;>tr|H3BM30|H3BM30_HUMAN Trans-2-enoyl-CoA reductase, mitochondrial (Fragment) OS=Homo sapiens GN=MECR PE=2 SV=1;>sp|Q9BV79-2|MECR_HUMAN Isoform 	4	1	1	1	7.4	7.4	7.4	21.189	189	189;212;297;373	0.00059531	NaN	NaN	NaN	0	2036800	0	2036800				849	9650	True	9667	11515	20793	20793		
H3BS87;H3BMJ8;H3BSP8;H3BTU3;Q9BQ70	H3BS87;H3BMJ8;H3BSP8;H3BTU3;Q9BQ70	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	Transcription factor 25	TCF25	>tr|H3BS87|H3BS87_HUMAN Transcription factor 25 (Fragment) OS=Homo sapiens GN=TCF25 PE=4 SV=1;>tr|H3BMJ8|H3BMJ8_HUMAN Transcription factor 25 (Fragment) OS=Homo sapiens GN=TCF25 PE=2 SV=1;>tr|H3BSP8|H3BSP8_HUMAN Transcription factor 25 (Fragment) OS=Homo s	5	1	1	1	13	13	13	15.652	146	146;210;234;265;676	0.0086045	NaN	NaN	NaN	1	1385500	217540	1167900				850	10189	True	10207	12144	21969	21969		
H3BR57;H3BPG5;H3BV80;H3BMS0;Q15287-3;Q15287-2;H3BMM9;H3BTC0;Q15287	H3BR57;H3BPG5;H3BV80;H3BMS0;Q15287-3;Q15287-2;H3BMM9;H3BTC0;Q15287	2;2;2;2;2;2;2;2;2	2;2;2;2;2;2;2;2;2	2;2;2;2;2;2;2;2;2	RNA-binding protein with serine-rich domain 1	RNPS1	>tr|H3BR57|H3BR57_HUMAN RNA-binding protein with serine-rich domain 1 (Fragment) OS=Homo sapiens GN=RNPS1 PE=2 SV=1;>tr|H3BPG5|H3BPG5_HUMAN RNA binding protein S1, serine-rich domain, isoform CRA_c OS=Homo sapiens GN=RNPS1 PE=2 SV=1;>tr|H3BV80|H3BV80_HUMAN	9	2	2	2	20.5	20.5	20.5	13.243	112	112;128;211;257;268;282;284;302;305	9.0657E-11	0.88507	0.73605	3.8536	2	34583000	18399000	16184000				851	4466;7693	True;True	4475;7706	5343;9240	9733;16649	9733;16649		
H3BN72;H3BNV9;P13073;Q86WV2;H3BPG0;H3BNI5	H3BN72;H3BNV9;P13073;Q86WV2;H3BPG0	4;4;4;3;3;1	4;4;4;3;3;1	4;4;4;3;3;1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	COX4I1	>tr|H3BN72|H3BN72_HUMAN Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens GN=COX4I1 PE=2 SV=1;>tr|H3BNV9|H3BNV9_HUMAN Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens GN=COX4I1 PE=2 SV=1;>sp|P13073|COX41_HUMAN C	6	4	4	4	33.3	33.3	33.3	14.368	126	126;139;169;83;108;43	6.2169E-14	1.4081	0.96222	16.594	5	215710000	91241000	124470000				852	1029;1507;2818;9337	True;True;True;True	1033;1512;2825;9351	1218;1792;1793;3358;11159	2202;2203;3239;3240;3241;3242;3243;3244;3245;3246;6024;20162;20163;20164	2203;3240;6024;20164		
P80404;H3BRN4;H3BNQ7	P80404;H3BRN4;H3BNQ7	1;1;1	1;1;1	1;1;1	4-aminobutyrate aminotransferase, mitochondrial	ABAT	>sp|P80404|GABT_HUMAN 4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens GN=ABAT PE=1 SV=3;>tr|H3BRN4|H3BRN4_HUMAN 4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens GN=ABAT PE=2 SV=1;>tr|H3BNQ7|H3BNQ7_HUMAN 4-aminobutyrate aminot	3	1	1	1	3	3	3	56.438	500	500;515;515	0.00025961	NaN	NaN	NaN	0	1085700	0	1085700				853	4860	True	4869	5825	10610;10611	10611		
P20674;H3BNX8;H3BRM5;H3BV69;H3BRI0	P20674;H3BNX8;H3BRM5;H3BV69	3;3;2;2;1	3;3;2;2;1	3;3;2;2;1	Cytochrome c oxidase subunit 5A, mitochondrial	COX5A	>sp|P20674|COX5A_HUMAN Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens GN=COX5A PE=1 SV=2;>tr|H3BNX8|H3BNX8_HUMAN Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens GN=COX5A PE=2 SV=1;>tr|H3BRM5|H3BRM5_HUMAN Cytochrome c oxidase 	5	3	3	3	17.3	17.3	17.3	16.762	150	150;153;69;111;84	1.0164E-09	1.2494	0.89829	14.908	3	114620000	50363000	64259000				854	6859;9159;12077	True;True;True	6869;9173;12097	8286;10956;14488	15004;15005;15006;19772;19773;26449;26450	15004;19772;26449		
H3BS10;P06865;H3BP20;E9PGL4;H3BU85;H3BTD4;B4DKE7	H3BS10;P06865;H3BP20;E9PGL4;H3BU85;H3BTD4	8;8;8;5;5;5;3	8;8;8;5;5;5;3	8;8;8;5;5;5;3	Beta-hexosaminidase;Beta-hexosaminidase subunit alpha	HEXA	>tr|H3BS10|H3BS10_HUMAN Beta-hexosaminidase subunit alpha OS=Homo sapiens GN=HEXA PE=2 SV=1;>sp|P06865|HEXA_HUMAN Beta-hexosaminidase subunit alpha OS=Homo sapiens GN=HEXA PE=1 SV=2;>tr|H3BP20|H3BP20_HUMAN Beta-hexosaminidase subunit alpha OS=Homo sapiens 	7	8	8	8	16.9	16.9	16.9	58.44	509	509;529;540;301;318;373;168	4.0429E-23	1.8815	1.5615	10.34	6	131670000	36381000	95292000				855	652;2948;4030;4320;4504;7290;9761;10226	True;True;True;True;True;True;True;True	653;2955;4038;4329;4513;7302;9778;10244	760;3505;4827;5161;5385;8778;11642;12186	1367;1368;6293;8774;9385;9812;15841;15842;15843;21010;22050	1367;6293;8774;9385;9812;15843;21010;22050		
P42126-2;H3BP91;P42126;Q96DC0;H3BS70	P42126-2;H3BP91;P42126;Q96DC0;H3BS70	4;4;4;3;2	4;4;4;3;2	4;4;4;3;2	Enoyl-CoA delta isomerase 1, mitochondrial	ECI1;DCI	>sp|P42126-2|ECI1_HUMAN Isoform 2 of Enoyl-CoA delta isomerase 1, mitochondrial OS=Homo sapiens GN=ECI1;>tr|H3BP91|H3BP91_HUMAN Enoyl-CoA delta isomerase 1, mitochondrial (Fragment) OS=Homo sapiens GN=ECI1 PE=3 SV=1;>sp|P42126|ECI1_HUMAN Enoyl-CoA delta is	5	4	4	4	15.1	15.1	15.1	30.895	285	285;294;302;243;224	3.1547E-14	1.5714	1.0785	15.288	4	178920000	72623000	106300000				856	1958;9695;9779;11465	True;True;True;True	1964;9712;9796;11485	2369;11567;11662;13735	4268;4269;20877;20878;21048;25031	4268;20878;21048;25031		
P35637-2;P35637;H3BPE7	P35637-2;P35637;H3BPE7	3;3;3	3;3;3	2;2;2	RNA-binding protein FUS	FUS	>sp|P35637-2|FUS_HUMAN Isoform Short of RNA-binding protein FUS OS=Homo sapiens GN=FUS;>sp|P35637|FUS_HUMAN RNA-binding protein FUS OS=Homo sapiens GN=FUS PE=1 SV=1;>tr|H3BPE7|H3BPE7_HUMAN RNA-binding protein FUS OS=Homo sapiens GN=FUS PE=2 SV=1	3	3	3	2	7.8	7.8	7.8	53.354	525	525;526;527	2.3733E-09	0.9928	0.67622	22.68	3	84681000	42965000	41716000				857	63;65;834	True;True;True	63;65;838	72;74;75;990	138;139;141;142;143;1762;1763;1764	139;141;1764		
H3BPK3;Q16775-2;Q16775;H3BPQ4;H3BV79;H3BQW8;E7EN93	H3BPK3;Q16775-2;Q16775;H3BPQ4;H3BV79;H3BQW8	6;6;6;5;3;3;2	6;6;6;5;3;3;2	6;6;6;5;3;3;2	Hydroxyacylglutathione hydrolase, mitochondrial	HAGH	>tr|H3BPK3|H3BPK3_HUMAN Hydroxyacylglutathione hydrolase, mitochondrial (Fragment) OS=Homo sapiens GN=HAGH PE=3 SV=1;>sp|Q16775-2|GLO2_HUMAN Isoform 2 of Hydroxyacylglutathione hydrolase, mitochondrial OS=Homo sapiens GN=HAGH;>sp|Q16775|GLO2_HUMAN Hydroxya	7	6	6	6	36.4	36.4	36.4	26.305	239	239;260;308;258;64;160;236	3.6141E-39	3.1233	2.7241	44.959	4	54522000	20744000	33778000				858	2093;2512;5512;7299;10815;12449	True;True;True;True;True;True	2099;2519;5522;7311;10834;12469	2524;3002;6640;8788;12951;12952;14926	4531;5372;12121;15859;15860;15861;23532;23533;27250;27251	4531;5372;12121;15860;23532;27250		
H3BUD2;H3BS05;H3BQA4;Q9BTE1-2;H3BR94;Q9BTE1	H3BUD2;H3BS05;H3BQA4;Q9BTE1-2;H3BR94;Q9BTE1	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	Dynactin subunit 5	DCTN5	>tr|H3BUD2|H3BUD2_HUMAN Dynactin subunit 5 OS=Homo sapiens GN=DCTN5 PE=2 SV=1;>tr|H3BS05|H3BS05_HUMAN Dynactin subunit 5 OS=Homo sapiens GN=DCTN5 PE=2 SV=1;>tr|H3BQA4|H3BQA4_HUMAN Dynactin 5 (P25), isoform CRA_c OS=Homo sapiens GN=DCTN5 PE=2 SV=1;>sp|Q9BTE	6	1	1	1	18.9	18.9	18.9	6.0239	53	53;75;84;152;155;182	8.1405E-07	NaN	NaN	NaN	1	2857400	1312800	1544600				859	7593	True	7607	9134	16451;16452	16452		
I3L0H8;Q9UMR2-2;Q9UMR2-4;Q9NUU7;Q9UMR2;H3BQK0;Q9UMR2-3;B4DRZ7;I3L352;H3BTB3;H3BMQ5;H3BN59	I3L0H8;Q9UMR2-2;Q9UMR2-4;Q9NUU7;Q9UMR2;H3BQK0;Q9UMR2-3;B4DRZ7;I3L352	4;4;4;4;4;4;3;3;3;1;1;1	4;4;4;4;4;4;3;3;3;1;1;1	4;4;4;4;4;4;3;3;3;1;1;1	ATP-dependent RNA helicase DDX19A;ATP-dependent RNA helicase DDX19B	DDX19A;DDX19B	>tr|I3L0H8|I3L0H8_HUMAN ATP-dependent RNA helicase DDX19A OS=Homo sapiens GN=DDX19A PE=2 SV=1;>sp|Q9UMR2-2|DD19B_HUMAN Isoform 2 of ATP-dependent RNA helicase DDX19B OS=Homo sapiens GN=DDX19B;>sp|Q9UMR2-4|DD19B_HUMAN Isoform 4 of ATP-dependent RNA helicase	12	4	4	4	12.1	12.1	12.1	50.519	447	447;448;453;478;479;484;370;388;396;129;233;261	2.2256E-34	1.1564	0.96376	25.554	3	36984000	17248000	19736000				860	1476;2363;4022;9755	True;True;True;True	1481;2370;4030;9772	1754;2823;4818;11636	3168;5060;8759;8760;20999;21000	3168;5060;8760;20999		
J3KSZ6;H3BR06;Q15554	J3KSZ6;H3BR06;Q15554	1;1;1	1;1;1	1;1;1	Telomeric repeat-binding factor 2	TERF2	>tr|J3KSZ6|J3KSZ6_HUMAN Telomeric repeat-binding factor 2 (Fragment) OS=Homo sapiens GN=TERF2 PE=4 SV=1;>tr|H3BR06|H3BR06_HUMAN Telomeric repeat-binding factor 2 (Fragment) OS=Homo sapiens GN=TERF2 PE=2 SV=1;>sp|Q15554|TERF2_HUMAN Telomeric repeat-binding 	3	1	1	1	14.6	14.6	14.6	15.355	144	144;283;500	8.7778E-08	NaN	NaN	NaN	0	1594000	1594000	0				861	5675	True	5685	6834	12466;12467	12466		
H3BR29;H3BSM7;Q96GQ5;Q96GQ5-2	H3BR29;H3BSM7;Q96GQ5;Q96GQ5-2	2;2;2;1	2;2;2;1	2;2;2;1	UPF0420 protein C16orf58	C16orf58	>tr|H3BR29|H3BR29_HUMAN UPF0420 protein C16orf58 OS=Homo sapiens GN=C16orf58 PE=2 SV=1;>tr|H3BSM7|H3BSM7_HUMAN UPF0420 protein C16orf58 OS=Homo sapiens GN=C16orf58 PE=2 SV=1;>sp|Q96GQ5|CP058_HUMAN UPF0420 protein C16orf58 OS=Homo sapiens GN=C16orf58 PE=1 S	4	2	2	2	7.3	7.3	7.3	46.342	423	423;466;468;206	5.492E-10	NaN	NaN	NaN	0	12011000	0	12011000				862	4696;7608	True;True	4705;7622	5636;9150	10255;10256;16490;16491;16492	10256;16492		
H3BRV0;Q99613;B5ME19;H3BPE4;H3BTY8;H3BPE3	H3BRV0;Q99613;B5ME19	10;10;9;2;1;1	10;10;9;2;1;1	10;10;9;2;1;1	Eukaryotic translation initiation factor 3 subunit C	EIF3C;EIF3CL	>tr|H3BRV0|H3BRV0_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=2 SV=1;>sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1;>tr|B5ME19|B5ME19_HUMAN Eukaryoti	6	10	10	10	15.2	15.2	15.2	104.1	903	903;913;914;148;80;133	2.211E-83	1.2839	1.0459	15.102	10	199720000	88751000	110960000				863	1289;2583;3144;4334;6449;7699;9145;9390;9589;10242	True;True;True;True;True;True;True;True;True;True	1294;2590;3151;4343;6459;7712;9159;9405;9606;10260	1513;3078;3723;5176;7751;9246;10940;11216;11447;12205	2726;2727;5512;5513;6686;6687;9413;9414;14064;14065;14066;16661;16662;16663;16664;19750;20270;20271;20272;20674;22080;22081	2726;5512;6686;9413;14064;16663;19750;20271;20674;22081		
H3BRV9;P61970;J3QS01	H3BRV9;P61970;J3QS01	2;2;1	2;2;1	2;2;1	Nuclear transport factor 2	NUTF2	>tr|H3BRV9|H3BRV9_HUMAN Nuclear transport factor 2 (Fragment) OS=Homo sapiens GN=NUTF2 PE=2 SV=1;>sp|P61970|NTF2_HUMAN Nuclear transport factor 2 OS=Homo sapiens GN=NUTF2 PE=1 SV=1;>tr|J3QS01|J3QS01_HUMAN Nuclear transport factor 2 OS=Homo sapiens GN=NUTF2	3	2	2	2	22.4	22.4	22.4	12.159	107	107;127;97	1.1384E-07	1.209	0.80169	1.7936	2	92111000	41176000	50935000				864	166;7214	True;True	166;7226	193;8694	369;370;15700;15701	369;15700		
H3BSK9;Q8WWM7-7;Q8WWM7-6;Q8WWM7-8;Q8WWM7-5;Q8WWM7-4;Q8WWM7-2;Q63ZY4;H3BUF6;Q8WWM7;Q8WWM7-3	H3BSK9;Q8WWM7-7;Q8WWM7-6;Q8WWM7-8;Q8WWM7-5;Q8WWM7-4;Q8WWM7-2;Q63ZY4;H3BUF6;Q8WWM7;Q8WWM7-3	1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1	Ataxin-2-like protein	ATXN2L	>tr|H3BSK9|H3BSK9_HUMAN Ataxin-2-like protein (Fragment) OS=Homo sapiens GN=ATXN2L PE=2 SV=1;>sp|Q8WWM7-7|ATX2L_HUMAN Isoform 7 of Ataxin-2-like protein OS=Homo sapiens GN=ATXN2L;>sp|Q8WWM7-6|ATX2L_HUMAN Isoform 6 of Ataxin-2-like protein OS=Homo sapiens G	11	1	1	1	4.8	4.8	4.8	37.138	336	336;399;968;1044;1044;1044;1062;1062;1068;1075;1097	1.4247E-05	NaN	NaN	NaN	0	2338100	2338100	0				865	4195	True	4204	5015	9095;9096	9095		
H3BSM5;P60520;H3BQ50	H3BSM5;P60520;H3BQ50	2;2;1	2;2;1	2;2;1	Gamma-aminobutyric acid receptor-associated protein-like 2	GABARAPL2	>tr|H3BSM5|H3BSM5_HUMAN Gamma-aminobutyric acid receptor-associated protein-like 2 OS=Homo sapiens GN=GABARAPL2 PE=2 SV=1;>sp|P60520|GBRL2_HUMAN Gamma-aminobutyric acid receptor-associated protein-like 2 OS=Homo sapiens GN=GABARAPL2 PE=1 SV=1;>tr|H3BQ50|H3	3	2	2	2	21.6	21.6	21.6	10.401	88	88;117;57	0.00015116	NaN	NaN	NaN	1	13926000	11250000	2675300				866	495;11690	True;True	496;11710	576;13995	1065;25514	1065;25514		
H3BT58;Q14019	H3BT58;Q14019	2;2	2;2	2;2	Coactosin-like protein	COTL1	>tr|H3BT58|H3BT58_HUMAN Coactosin-like protein OS=Homo sapiens GN=COTL1 PE=2 SV=1;>sp|Q14019|COTL1_HUMAN Coactosin-like protein OS=Homo sapiens GN=COTL1 PE=1 SV=3	2	2	2	2	32.9	32.9	32.9	8.2242	73	73;142	1.3616E-05	NaN	NaN	NaN	1	12436000	11297000	1138600				867	2545;3068	True;True	2552;3075	3036;3637	5435;6536	5435;6536		
H3BTU6	H3BTU6	2	2	2	Coronin	CORO1A	>tr|H3BTU6|H3BTU6_HUMAN Coronin (Fragment) OS=Homo sapiens GN=CORO1A PE=2 SV=1	1	2	2	2	10.2	10.2	10.2	27.065	246	246	6.5449E-11	1.0783	0.75799	7.9907	2	101080000	51668000	49416000				868	11891;11892	True;True	11910;11911	14235;14236	25955;25956;25957;25958	25957;25958		
H3BUU5;P08047	H3BUU5;P08047	1;1	1;1	1;1	Transcription factor Sp1	SP1	>tr|H3BUU5|H3BUU5_HUMAN Transcription factor Sp1 (Fragment) OS=Homo sapiens GN=SP1 PE=2 SV=1;>sp|P08047|SP1_HUMAN Transcription factor Sp1 OS=Homo sapiens GN=SP1 PE=1 SV=3	2	1	1	1	9.3	9.3	9.3	16.136	162	162;785	6.7253E-05	NaN	NaN	NaN	1	6570700	3297300	3273500				869	9312	True	9326	11131	20112	20112		
